id,lane,organization,opportunity,location,status,deadline_or_cadence,economic_band,compensation_evidence,fit,lead_assets,application_cost,blocking_unknown,next_action,source_url
job-hongwen-ai-trading,JOB,Hong Wen Capital,AI Engineer (Financial Trading),Taipei,FIRE_NOW,ROLLING,NT$1.5M-4.0M,VERIFIED_PUBLISHED,PLAUSIBLE_STRETCH,Cite|Sharpe|Finance|Citation Engine,LOW,3+ years requirement,tailor finance+agent CV and fire,https://www.104.com.tw/company/1a2x6bnddl
job-hongwen-ml-qr,JOB,Hong Wen Capital,ML / Quantitative Research lane,Taipei,FIRE_NOW,ROLLING,NT$1.5M-4.0M,VERIFIED_COMPANY_RANGE,STRONG,Sharpe|Finance|Research Papers|Python,LOW,requisition-specific requirements,hydrate exact current requisition and fire,https://www.104.com.tw/company/1a2x6bnddl
job-point72-qfr,JOB,Point72 / Cubist,Quantitative Finance Researcher,Taipei,PRICE_DISCOVERY,ROLLING,UNKNOWN,UNDISCLOSED,STRONG,Finance|Sharpe|Research Papers|Large Data,LOW,total compensation,fire with quant dossier,https://careers.point72.com/CSJobDetail?jobCode=CSS-0003552&jobName=quantitative-finance-researcher&locale=English&location=Taipei+City
job-point72-macro,JOB,Point72 / Cubist,Macro Quant Researcher,Taipei,PRICE_DISCOVERY,ROLLING,UNKNOWN,UNDISCLOSED,PLAUSIBLE_STRETCH,Finance|Sharpe|Research Papers,LOW,requisition-specific macro depth,hydrate role and fire if requirements clear,https://careers.point72.com/?location=taipei+city
job-point72-qdev,JOB,Point72 / Cubist,Quantitative Software Developer,Taipei,WATCH,ROLLING,UNKNOWN,UNDISCLOSED,PLAUSIBLE_STRETCH,Python|Data Infrastructure|Sharpe,MEDIUM,software-engineering depth,keep board watch and fire if stack matches,https://careers.point72.com/?location=taipei+city
job-worldquant-qr,JOB,WorldQuant,Quantitative Researcher,Taipei,FIRE_NOW,ROLLING,UNKNOWN,UNDISCLOSED,PLAUSIBLE_STRETCH,Finance|Sharpe|Research Papers|Python,LOW,degree wording varies by requisition,fire strongest finance-accepting requisition,https://job-boards.greenhouse.io/worldquant/jobs/4069484006
job-worldquant-macro,JOB,WorldQuant,Quantitative Researcher - Quant Macro,Taipei,FIRE_NOW,ROLLING,UNKNOWN,UNDISCLOSED,PLAUSIBLE_STRETCH,Finance|Sharpe|Research Papers,LOW,macro/futures research depth,fire as stretch,https://job-boards.greenhouse.io/worldquant/jobs/4372598006
job-worldquant-ds,JOB,WorldQuant,Data Scientist,Taipei,FIRE_NOW,ROLLING,UNKNOWN,UNDISCLOSED,STRONG,Large Data|Python|Research Drive|Finance,LOW,exact requisition requirements,hydrate and fire,https://job-boards.greenhouse.io/worldquant
job-kronos-qr-grad,JOB,Kronos Research,Quantitative Research Graduate Program (2026),Taiwan,FIRE_NOW,ROLLING,UNKNOWN,UNDISCLOSED,STRONG,Finance|Sharpe|Research Papers|Python,LOW,start-date and graduate eligibility,fire early-career dossier,https://www.kronosresearch.com/careers
job-binance-ai-agent,JOB,Binance,AI Agent Engineer,Taipei / Asia,FIRE_NOW,ROLLING,UNKNOWN,UNDISCLOSED,VERY_STRONG,Cite|YZU|Citation Engine|Blowback,LOW,total compensation,fire agent-research dossier,https://jobs.lever.co/binance/3a2ca7e0-e2c9-4248-b8fe-0de5d05dee1c
job-binance-software-ai,JOB,Binance,Software Engineer (AI),Taipei / Asia,PRICE_DISCOVERY,ROLLING,UNKNOWN,UNDISCLOSED,STRONG,Cite|YZU|Citation Engine,LOW,exact seniority and compensation,hydrate and fire,https://jobs.lever.co/binance/?location=Taiwan%2C+Taipei
job-binance-ai-backend,JOB,Binance,AI Backend Developer - Binance Square,Taipei / Asia,PRICE_DISCOVERY,ROLLING,UNKNOWN,UNDISCLOSED,STRONG,Cite|YZU|Python,LOW,backend stack fit,fire if Java/Golang not hard blocker,https://jobs.lever.co/binance/?location=Taiwan%2C+Taipei
job-binance-bap-applied-agent,JOB,Binance Accelerator Program,Applied AI Agent Engineer,Taipei / Asia Remote,FIRE_NOW,ROLLING,UNKNOWN,UNDISCLOSED,VERY_STRONG,Cite|YZU|Citation Engine|Blowback,LOW,full-time availability before graduation,prepare for Jan-2027 start or legal timing,https://jobs.lever.co/binance/303def79-701c-4b29-aceb-e07877a22d1d
