id,lane,organization,opportunity,route_class,assets,contribution_view,status,execution_state,execution_manifest,deadline,gate,shared_evidence_family,mutual_exclusion_group,parent_route,source_state,source,origin
smartliving-creative-2026,APPLY,Smart Living Competition,Creative Imagination,APPLY,Hardware Splicer|Public-Good,,FIRE_IF_FIT,RESEARCH_ONLY,,2026-09-18,category eligibility,,,,CURRENT_LONGTAIL_BOARD,https://srsch.mohw.gov.tw/FileDownload/Activities/20260803171556152813428.pdf,docs/longtail/longtail-campaigns.csv
awesome-climate-2026-09,APPLY,Awesome Foundation,Conservation & Climate,APPLY,Public-Good|Policy Lab,,FIRE_IF_FIT,RESEARCH_ONLY,,2026-09-25,concrete climate/conservation action,,,,CURRENT_LONGTAIL_BOARD,https://www.awesomefoundation.org/en/chapters/conservationandclimate,docs/longtail/longtail-campaigns.csv
freeway-pricing-2026,APPLY,Freeway AI,Congestion Pricing,APPLY,Policy Lab,,FIRE,RESEARCH_ONLY,,2026-09-30,social/student eligibility,,,,CURRENT_LONGTAIL_BOARD,https://www.freeway.gov.tw/Publish.aspx?cnid=193&p=43590,docs/longtail/longtail-campaigns.csv
freeway-bridge-2026,APPLY,Freeway AI,Bridge Deterioration Prediction,APPLY,Hardware Splicer,,VERIFY,RESEARCH_ONLY,,2026-09-30,G3 domain-model/data fit; bridge deterioration may require materially new model,,,,CURRENT_LONGTAIL_BOARD,https://www.freeway.gov.tw/Publish.aspx?cnid=193&p=43590,docs/longtail/longtail-campaigns.csv | master override: Gate audit correction: not unconditional FIRE.
ncue-ai-2026,APPLY,National Industry-Academia Innovation,AI & Applications,APPLY,Hardware Splicer|Cite|YZU|Public-Good,,FIRE_AFTER_GATE,RESEARCH_ONLY,,2026-10-22,student eligibility,,,,CURRENT_LONGTAIL_BOARD,https://eedept.ncue.edu.tw/innovation2026/intro.html,docs/longtail/longtail-campaigns.csv
ncue-info-2026,APPLY,National Industry-Academia Innovation,Information & Electronics,APPLY,Hardware Splicer|Citation Engine|Cite,,FIRE_AFTER_GATE,RESEARCH_ONLY,,2026-10-22,student eligibility,,,,CURRENT_LONGTAIL_BOARD,https://eedept.ncue.edu.tw/innovation2026/intro.html,docs/longtail/longtail-campaigns.csv
ncue-mech-2026,APPLY,National Industry-Academia Innovation,Mechanical & Automation,APPLY,Hardware Splicer,,FIRE_AFTER_GATE,RESEARCH_ONLY,,2026-10-22,student eligibility,,,,CURRENT_LONGTAIL_BOARD,https://eedept.ncue.edu.tw/innovation2026/intro.html,docs/longtail/longtail-campaigns.csv
ncue-green-2026,APPLY,National Industry-Academia Innovation,Green Technology,APPLY,Public-Good|Policy Lab,,VERIFY,RESEARCH_ONLY,,2026-10-22,substantive green-tech fit,,,,CURRENT_LONGTAIL_BOARD,https://eedept.ncue.edu.tw/innovation2026/intro.html,docs/longtail/longtail-campaigns.csv
interledger-local-2026,APPLY,Interledger Foundation,Local Impact Mini-Grant,APPLY,Policy Lab|Public-Good,,FIRE_IF_FIT,RESEARCH_ONLY,,2026-11-11,open-payments/financial-access fit,,,,CURRENT_LONGTAIL_BOARD,https://interledger.org/grant/local-impact,docs/longtail/longtail-campaigns.csv
legaltech-tech-2026,APPLY,LegalTech & Computer Audit,Technical,APPLY,Citation Engine|Policy Lab,,VERIFY,RESEARCH_ONLY,,2026-11-30,technical reuse/no-new-product,,,,CURRENT_LONGTAIL_BOARD,https://ec.ccu.edu.tw/p/406-1149-87925%2Cr4399.php?Lang=zh-tw,docs/longtail/longtail-campaigns.csv
asyncapi-medium,SELL,AsyncAPI,Monthly Medium Microgrant,SELL,Engineering|Commons|Citation Engine,,ROLLING,RESEARCH_ONLY,,monthly,suitable funded issue available,,,,CURRENT_LONGTAIL_BOARD,https://www.asyncapi.com/docs/community/010-contribution-guidelines/microgrant-program,docs/longtail/longtail-campaigns.csv
asyncapi-advanced,SELL,AsyncAPI,Monthly Advanced Microgrant,SELL,Engineering|Commons|Citation Engine,,ROLLING,RESEARCH_ONLY,,monthly,suitable funded issue available,,,,CURRENT_LONGTAIL_BOARD,https://www.asyncapi.com/docs/community/010-contribution-guidelines/microgrant-program,docs/longtail/longtail-campaigns.csv
interledger-arazzo,SELL,Interledger Foundation,Open Payments SDK Arazzo Documentation,SELL,Commons|Citation Engine,,ROLLING,RESEARCH_ONLY,,until budget exhausted,spec expertise fit,,,,CURRENT_LONGTAIL_BOARD,https://interledger.org/grant/open-payments-sdk,docs/longtail/longtail-campaigns.csv
interledger-rfc9421,SELL,Interledger Foundation,HTTP Message Signatures Library,SELL,Citation Engine|Commons,,VERIFY,RESEARCH_ONLY,,until budget exhausted,implementation fit,,,,CURRENT_LONGTAIL_BOARD,https://interledger.org/grant/open-payments-sdk,docs/longtail/longtail-campaigns.csv
opire-live,SELL,Opire,Live OSS Bounties,SELL,Engineering|Commons|Citation Engine,,ROLLING,RESEARCH_ONLY,,rolling,skill + payout/hour threshold,,,,CURRENT_LONGTAIL_BOARD,https://opire.dev/home,docs/longtail/longtail-campaigns.csv
projectdiscovery-oss,SELL,ProjectDiscovery,OSS Bounty Program,SELL,Nocturnal|Citation Engine,,SELECTIVE_SELL,RESEARCH_ONLY,,rolling,issue-level security-engineering competence and payout/hour,,,,CURRENT_LONGTAIL_BOARD,https://projectdiscovery.io/blog/announcing-the-projectdiscovery-oss-bounty-program,docs/longtail/longtail-campaigns.csv | master override: Do not infer product fit from Nocturnal/Citation Engine architecture alone.
emergent-citation,APPLY,Emergent Ventures,Emergent Ventures,APPLY,Citation Engine,,ROLLING,RESEARCH_ONLY,,rolling,credible concise thesis,,,,CURRENT_LONGTAIL_BOARD,https://www.mercatus.org/emergent-ventures,docs/longtail/longtail-campaigns.csv
emergent-commons,APPLY,Emergent Ventures,Emergent Ventures,APPLY,Commons,,ROLLING,RESEARCH_ONLY,,rolling,credible concise thesis,,,,CURRENT_LONGTAIL_BOARD,https://www.mercatus.org/emergent-ventures,docs/longtail/longtail-campaigns.csv
codex-oss-citation,OFFSET,OpenAI,Codex Open Source Fund,OFFSET,Citation Engine,,FIRE_AFTER_REPO_AND_USE_CASE_VERIFY,PORTAL_RECON_REQUIRED,,ROLLING,"G1/G2 current official fund is a US$1M rolling initiative awarding up to US$25,000 in API credits. Verify the applicant is a real maintainer of the named public repository and provide a concrete credit-use plan tied to that project. The live form includes a legal acknowledgment and final Submit; both remain human gates.",,,,OFFICIAL_OPENAI_CODEX_OSS_FUND_VERIFIED_2026-09-12,https://openai.com/form/codex-open-source-fund/,docs/longtail/longtail-campaigns.csv | master override: Replace stale Codex-for-OSS economics and URL with the current rolling fund while preserving maintainer and claim gates.
lambda-research,OFFSET,Lambda,Research Grant,OFFSET,Hardware Splicer|Citation Engine|Research Papers,,FIRE_IF_NEEDED,RESEARCH_ONLY,,rolling,real research compute need,,,,CURRENT_LONGTAIL_BOARD,https://lambda.ai/research,docs/longtail/longtail-campaigns.csv
gcp-trial,OFFSET,Google Cloud,Free Trial,OFFSET,Any Active Project,,FIRE_IF_UNUSED,RESEARCH_ONLY,,rolling,new-account eligibility,,,,CURRENT_LONGTAIL_BOARD,https://docs.cloud.google.com/free/docs/free-cloud-features,docs/longtail/longtail-campaigns.csv
aws-activate,OFFSET,AWS,Activate Founders,OFFSET,Company Vehicle,,HOLD,RESEARCH_ONLY,,rolling,company/startup vehicle,,,,CURRENT_LONGTAIL_BOARD,https://aws.amazon.com/startups/credits/,docs/longtail/longtail-campaigns.csv
google-startups,OFFSET,Google Cloud,Google for Startups Cloud,OFFSET,Company Vehicle,,HOLD,RESEARCH_ONLY,,rolling,company/startup eligibility,,,,CURRENT_LONGTAIL_BOARD,https://cloud.google.com/startup/benefits,docs/longtail/longtail-campaigns.csv
ms-startups,OFFSET,Microsoft,Microsoft for Startups,OFFSET,Company Vehicle,,HOLD,RESEARCH_ONLY,,rolling,business verification,,,,CURRENT_LONGTAIL_BOARD,https://www.microsoft.com/en-us/startups,docs/longtail/longtail-campaigns.csv
yzu-competition-reimbursement,OFFSET,Yuan Ze University,Off-campus Academic Competition Subsidy,OFFSET,All Eligible Projects,,VERIFY,RESEARCH_ONLY,,post-event,still-enrolled + classification + receipts,,,,CURRENT_LONGTAIL_BOARD,https://www.yzu.edu.tw/admin/st/index.php/tw/2016-03-25-05-42-29/2017-04-19-04-00-53,docs/longtail/longtail-campaigns.csv
career-gogolook,CAREER,Gogolook,Data Research Engineer,CAREER,Whole Portfolio,,FIRE,RESEARCH_ONLY,,rolling until filled,role eligibility,,,,CURRENT_LONGTAIL_BOARD,https://jobs.lever.co/Gogolook/18b12699-5d93-443a-b1a0-6725cb496def,docs/longtail/longtail-campaigns.csv
career-binance-agent,CAREER,Binance,AI Agent Engineer,CAREER,Cite|YZU|Citation Engine,,FIRE_SELECTIVELY,RESEARCH_ONLY,,rolling until filled,role eligibility,,,,CURRENT_LONGTAIL_BOARD,https://jobs.lever.co/binance/3a2ca7e0-e2c9-4248-b8fe-0de5d05dee1c,docs/longtail/longtail-campaigns.csv
job-hongwen-ai-trading,JOB,Hong Wen Capital,AI Engineer (Financial Trading),JOB,Cite|Sharpe|Finance|Citation Engine,,FIRE_NOW,RESEARCH_ONLY,,ROLLING,3+ years requirement,,,,VERIFIED_PUBLISHED,https://www.104.com.tw/company/1a2x6bnddl,docs/postgrad/postgrad-market.csv
job-hongwen-ml-qr,JOB,Hong Wen Capital,ML / Quantitative Research lane,JOB,Sharpe|Finance|Research Papers|Python,,FIRE_NOW,RESEARCH_ONLY,,ROLLING,requisition-specific requirements,,,,VERIFIED_COMPANY_RANGE,https://www.104.com.tw/company/1a2x6bnddl,docs/postgrad/postgrad-market.csv
job-point72-qfr,JOB,Point72 / Cubist,Quantitative Finance Researcher,JOB,Finance|Sharpe|Research Papers|Large Data,,PRICE_DISCOVERY,RESEARCH_ONLY,,ROLLING,total compensation,,,,UNDISCLOSED,https://careers.point72.com/CSJobDetail?jobCode=CSS-0003552&jobName=quantitative-finance-researcher&locale=English&location=Taipei+City,docs/postgrad/postgrad-market.csv
job-point72-macro,JOB,Point72 / Cubist,Macro Quant Researcher,JOB,Finance|Sharpe|Research Papers,,PRICE_DISCOVERY,RESEARCH_ONLY,,ROLLING,requisition-specific macro depth,,,,UNDISCLOSED,https://careers.point72.com/?location=taipei+city,docs/postgrad/postgrad-market.csv
job-point72-qdev,JOB,Point72 / Cubist,Quantitative Software Developer,JOB,Python|Data Infrastructure|Sharpe,,WATCH,RESEARCH_ONLY,,ROLLING,software-engineering depth,,,,UNDISCLOSED,https://careers.point72.com/?location=taipei+city,docs/postgrad/postgrad-market.csv
job-worldquant-qr,JOB,WorldQuant,Quantitative Researcher,JOB,Finance|Sharpe|Research Papers|Python,,FIRE_NOW,RESEARCH_ONLY,,ROLLING,degree wording varies by requisition,,,,UNDISCLOSED,https://job-boards.greenhouse.io/worldquant/jobs/4069484006,docs/postgrad/postgrad-market.csv
job-worldquant-macro,JOB,WorldQuant,Quantitative Researcher - Quant Macro,JOB,Finance|Sharpe|Research Papers,,FIRE_NOW,RESEARCH_ONLY,,ROLLING,macro/futures research depth,,,,UNDISCLOSED,https://job-boards.greenhouse.io/worldquant/jobs/4372598006,docs/postgrad/postgrad-market.csv
job-worldquant-ds,JOB,WorldQuant,Data Scientist,JOB,Large Data|Python|Research Drive|Finance,,FIRE_NOW,RESEARCH_ONLY,,ROLLING,exact requisition requirements,,,,UNDISCLOSED,https://job-boards.greenhouse.io/worldquant,docs/postgrad/postgrad-market.csv
job-kronos-qr-grad,JOB,Kronos Research,Quantitative Research Graduate Program (2026),JOB,Finance|Sharpe|Research Papers|Python,,FIRE_NOW,RESEARCH_ONLY,,ROLLING,start-date and graduate eligibility,,,,UNDISCLOSED,https://www.kronosresearch.com/careers,docs/postgrad/postgrad-market.csv
job-binance-ai-agent,JOB,Binance,AI Agent Engineer,JOB,Cite|YZU|Citation Engine|Blowback,,FIRE_IF_ELIGIBLE,RESEARCH_ONLY,,ROLLING,1+ year production LLM/RAG/agent experience plus production retrieval-stack evidence,,,,UNDISCLOSED,https://jobs.lever.co/binance/3a2ca7e0-e2c9-4248-b8fe-0de5d05dee1c,docs/postgrad/postgrad-market.csv
job-binance-software-ai,JOB,Binance,Software Engineer (AI),JOB,Cite|YZU|Citation Engine,,PRICE_DISCOVERY,RESEARCH_ONLY,,ROLLING,exact seniority and compensation,,,,UNDISCLOSED,https://jobs.lever.co/binance/?location=Taiwan%2C+Taipei,docs/postgrad/postgrad-market.csv
job-binance-ai-backend,JOB,Binance,AI Backend Developer - Binance Square,JOB,Cite|YZU|Python,,PRICE_DISCOVERY,RESEARCH_ONLY,,ROLLING,backend stack fit,,,,UNDISCLOSED,https://jobs.lever.co/binance/?location=Taiwan%2C+Taipei,docs/postgrad/postgrad-market.csv
job-binance-bap-applied-agent,JOB,Binance Accelerator Program,Applied AI Agent Engineer,JOB,Cite|YZU|Citation Engine|Blowback,,FIRE_AFTER_GATE,RESEARCH_ONLY,,ROLLING,expected 2026 or 2027 graduation plus six-month five-day commitment nationality hCaptcha and file upload,,,,UNDISCLOSED,https://jobs.lever.co/binance/303def79-701c-4b29-aceb-e07877a22d1d,docs/postgrad/postgrad-market.csv
job-binance-bap-agent,JOB,Binance Accelerator Program,AI Agent Engineer,JOB,Cite|YZU|Citation Engine|Blowback,,FIRE_AFTER_GATE,RESEARCH_ONLY,,ROLLING,nationality plus 40-hour commitment and exact availability window,,,,UNDISCLOSED,https://jobs.lever.co/binance/439d6f0a-bf27-45b5-8cd2-0783d105bb7b,docs/postgrad/postgrad-market.csv
job-binance-bap-applied-ds,JOB,Binance Accelerator Program,Applied Data Scientist,JOB,Large Data|Finance|Python|Research,,FIRE_NOW,RESEARCH_ONLY,,ROLLING,exact role fit,,,,UNDISCLOSED,https://jobs.lever.co/binance/?location=Asia,docs/postgrad/postgrad-market.csv
job-binance-bap-cv,JOB,Binance Accelerator Program,Computer Vision Engineer - Agentic AI,JOB,Hardware Splicer|CV|Agents,,FIRE_NOW,RESEARCH_ONLY,,ROLLING,CV depth and start timing,,,,UNDISCLOSED,https://jobs.lever.co/binance?department=Engineering,docs/postgrad/postgrad-market.csv
job-binance-bap-onchain,JOB,Binance Accelerator Program,Blockchain Data Scientist (AI/LLM),JOB,Finance|Cryptocurrency Data|Python|AI Agents|Research Drive|Hardware Splicer,,FIRE_AFTER_GATE,RESEARCH_ONLY,,ROLLING,nationality visa sponsorship full-time weekly commitment and exact availability window,,,,UNDISCLOSED,https://jobs.lever.co/binance/96e8326e-074f-4d1f-89c4-8ed1a6f96014,docs/postgrad/postgrad-market.csv
job-binance-bap-agent-infra,JOB,Binance Accelerator Program,Backend Engineer - AI Pro / Agent Infrastructure,JOB,Cite|YZU|Citation Engine|Blowback|Infrastructure,,FIRE_NOW,RESEARCH_ONLY,,ROLLING,hCaptcha plus browser-extension file-upload access and final privacy/submit gate,,,,UNDISCLOSED,https://jobs.lever.co/binance/dc0c742c-847c-4b86-88df-ddac253399a8,docs/postgrad/postgrad-market.csv
job-binance-bap-ai-research,JOB,Binance Accelerator Program,Research Data Scientist,JOB,Cite|Citation Engine|Research Papers|Sharpe,,STRETCH_FIRE,RESEARCH_ONLY,,ROLLING,preferred ML CS Mathematics field plus PyTorch transformer and post-training depth,,,,UNDISCLOSED,https://jobs.lever.co/binance/ca44ee4e-392b-4745-9ad9-8e287f5a6d37,docs/postgrad/postgrad-market.csv
job-google-applied-ai,JOB,Google Taiwan,Software Engineer - Applied AI Pixel,JOB,Cite|YZU|AI Systems|Evaluation,,STRETCH_FIRE,RESEARCH_ONLY,,ROLLING,software interview bar,,,,UNDISCLOSED_ROLE_COMP,https://www.google.com/about/careers/applications/jobs/results/,docs/postgrad/postgrad-market.csv
job-google-genai-agent,JOB,Google Taiwan,Generative AI Agent / Pixel Quality lane,JOB,Cite|Citation Engine|Evaluation,,STRETCH_FIRE,RESEARCH_ONLY,,ROLLING,current requisition exactness,,,,UNDISCLOSED_ROLE_COMP,https://www.google.com/about/careers/applications/jobs/results/,docs/postgrad/postgrad-market.csv
job-google-ml-infra,JOB,Google Taiwan,ML Infrastructure / Cloud AI lane,JOB,YZU|Citation Engine|Data Infrastructure,,WATCH,RESEARCH_ONLY,,ROLLING,systems interview depth,,,,UNDISCLOSED_ROLE_COMP,https://www.google.com/about/careers/applications/jobs/results/,docs/postgrad/postgrad-market.csv
job-nvidia-pcb-eda-ai,JOB,NVIDIA Taiwan,PCB Design EDA & AI / NCG lane,JOB,Hardware Splicer|CV|Electronics,,STRETCH_FIRE,RESEARCH_ONLY,,ROLLING,EE/EDA credential depth,,,,UNDISCLOSED_ROLE_COMP,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,docs/postgrad/postgrad-market.csv
job-nvidia-ai-agent,JOB,NVIDIA Taiwan,AI Agent Development Engineer,JOB,Cite|Citation Engine|Agents,,WATCH,RESEARCH_ONLY,,ROLLING,seniority,,,,UNDISCLOSED_ROLE_COMP,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,docs/postgrad/postgrad-market.csv
job-nvidia-tensorrt,JOB,NVIDIA Taiwan,AI Computing / TensorRT-LLM Software Engineer,JOB,AI Systems|Python,,WATCH,RESEARCH_ONLY,,ROLLING,C++/CUDA systems depth,,,,UNDISCLOSED_ROLE_COMP,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,docs/postgrad/postgrad-market.csv
job-qualcomm-ai-ml,JOB,Qualcomm Taiwan,AI Machine Learning Software Engineer,JOB,Hardware Splicer|AI Systems,,WATCH,RESEARCH_ONLY,,ROLLING,live degree/seniority/embedded-depth filter,,,,UNDISCLOSED_ROLE_COMP,https://careers.qualcomm.com/careers,docs/postgrad/postgrad-market.csv | master override: Use only a current requisition that clears hard credential filters.
job-qualcomm-cv,JOB,Qualcomm Taiwan,Computer Vision & Machine Learning Engineer,JOB,Hardware Splicer|CV,,WATCH,RESEARCH_ONLY,,ROLLING,live degree/seniority/CV-specialization filter,,,,UNDISCLOSED_ROLE_COMP,https://careers.qualcomm.com/careers,docs/postgrad/postgrad-market.csv | master override: Use only a current requisition that clears hard credential filters.
job-amd-ai-product,JOB,AMD Taiwan,AI / Product Engineering lanes,JOB,Hardware Splicer|AI Systems,,WATCH,RESEARCH_ONLY,,ROLLING,EE/CS credential filters,,,,UNDISCLOSED_ROLE_COMP,https://careers.amd.com/careers-home,docs/postgrad/postgrad-market.csv
