id,parent,track,mode,asset,status,deadline,value_original,smallest_cash_outcome,prep_hours,gate,source
agentrust-2026,AgenTrust Fellowship,,CAREER,Citation Engine|Commons,FIRE,2026-08-29,paid fellowship,paid,3-6,20h/week commitment,https://www.opaque.co/resources/articles/opaque-announces-applications-for-agentrust-fellowship-to-advance-open-standards-for-verifiable-ai-agents
wanrun-grad-2026,Wanrun Graduate Research Competition,,APPLY,Hardware Splicer|Research Papers,VERIFY,2026-08-31,cash research awards,cash tail,1-3,graduate-paper eligibility,https://cieid.ntpu.edu.tw/news/20260420492/
fas-ai-policy-2026,FAS AI Safety Policy Entrepreneurship Fellowship,,CAREER,Policy Lab|Citation Engine,FIRE_IF_FIT,2026-09-07,US$5000,US$5000,3-5,genuine frontier-AI-policy fit,https://fas.org/career/ai-safety-pef/
smartliving-creative-2026,Smart Living Competition,Creative Imagination,APPLY,Hardware Splicer|Public-Good,FIRE_IF_FIT,2026-09-18,NT$10k-60k,NT$10k merit,4-8,category eligibility,https://srsch.mohw.gov.tw/FileDownload/Activities/20260803171556152813428.pdf
awesome-climate-2026-09,Awesome Foundation,Conservation & Climate,APPLY,Public-Good|Policy Lab,FIRE_IF_FIT,2026-09-25,US$1000,US$1000,0.5-1,concrete climate/conservation action,https://www.awesomefoundation.org/en/chapters/conservationandclimate
freeway-pricing-2026,Freeway AI,Congestion Pricing,APPLY,Policy Lab,FIRE,2026-09-30,NT$50k-150k,NT$50k,3-6,social/student eligibility,https://www.freeway.gov.tw/Publish.aspx?cnid=193&p=43590
freeway-bridge-2026,Freeway AI,Bridge Deterioration Prediction,APPLY,Hardware Splicer,FIRE,2026-09-30,NT$50k-150k,NT$50k,3-6,data/problem fit,https://www.freeway.gov.tw/Publish.aspx?cnid=193&p=43590
innoserve-info-2026,InnoServe,Information Applications,APPLY,Cite|YZU,FIRE_AFTER_GATE,2026-10-05,NT$10k-30k,NT$10k,2-4,student status + category cap,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-genai-2026,InnoServe,Generative AI,APPLY,Cite|YZU|Citation Engine,FIRE_AFTER_GATE,2026-10-05,NT$10k-30k,NT$10k,2-4,student status + category cap,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-oss-2026,InnoServe,AI Open Source,APPLY,Citation Engine|Commons,FIRE_AFTER_GATE,2026-10-05,NT$10k-50k,NT$10k,2-4,OSS/model-origin rules,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-eduod-2026,InnoServe,Education Open Data,APPLY,Policy Lab|Public-Good|YZU,FIRE_AFTER_GATE,2026-10-05,NT$5k-50k,NT$5k,2-4,government dataset + student eligibility,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-eduod-idea-2026,InnoServe,Education Open Data Good Idea,APPLY,Policy Lab|Public-Good,FIRE_AFTER_GATE,2026-10-05,up to 3xNT$3k,NT$3k,1-2,parent-track eligibility,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-secapp-2026,InnoServe,Security Applications,APPLY,Nocturnal|Citation Engine,FIRE_AFTER_GATE,2026-10-05,NT$5k-50k,NT$5k,2-4,track fit + category cap,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-sectech-2026,InnoServe,Security Technology,APPLY,Citation Engine|Hardware Splicer,FIRE_AFTER_GATE,2026-10-05,NT$5k-50k,NT$5k,3-5,track fit,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-eduai-2026,InnoServe,Education AI,APPLY,YZU|Cite,FIRE_AFTER_GATE,2026-10-05,NT$5k-50k,NT$5k,2-4,education-AI fit,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-osha-2026,InnoServe,Occupational Safety AI,APPLY,Hardware Splicer,VERIFY,2026-10-05,NT$5k-50k,NT$5k,3-6,no-contortion/new-build gate,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-pet-2026,InnoServe,Privacy-Enhancing Technologies,APPLY,Citation Engine|Nocturnal,FIRE_AFTER_GATE,2026-10-05,NT$5k-50k,NT$5k,2-5,privacy/PET evidence,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-governance-2026,InnoServe,Commercial Governance AI,APPLY,Policy Lab|Citation Engine,FIRE_AFTER_GATE,2026-10-05,NT$10k-50k,NT$10k,2-4,student/category cap,https://innoserve.tca.org.tw/Rules/Detail?category=College
